거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
디자인 수,MA-05999,257795.0,255590.0,255590.0,260000.0,2,2,"255,590~260,000",,
디자인 수,MA-06215,180000.0,180000.0,180000.0,180000.0,4,1,"180,000(고정)",,
디자인 수,MA-06278,367940.0,367940.0,367940.0,367940.0,1,1,"367,940(고정)",,
디자인 수,MA-06730,98760.0,98760.0,98760.0,98760.0,1,1,"98,760(고정)",,
디자인 수,MA00200,134310.0,134310.0,134310.0,134310.0,2,1,"134,310(고정)",,
디자인 수,MA00216,161170.0,161170.0,161170.0,161170.0,1,1,"161,170(고정)",,
디자인 수,MA01424,111960.0,111960.0,111960.0,111960.0,1,1,"111,960(고정)",,
디자인크레파스,001001,45000.0,45000.0,45000.0,45000.0,9,1,"45,000(고정)",,
디자인크레파스,303001,3250.0,6000.0,1500.0,6000.0,18,9,"1,500~6,000",2500.0,30.0
디자인크레파스,703002,7000.0,7000.0,7000.0,7000.0,18,1,"7,000(고정)",7000.0,0.0
디자인크레파스,706001,216.0,194.0,194.0,281.0,7,4,194~281,,
디자인크레파스,707011,1250.0,500.0,500.0,2000.0,18,2,"500~2,000",,
디자인페이지플러스주식회사,001001,60000.0,60000.0,60000.0,60000.0,1,1,"60,000(고정)",,
디자인페이지플러스주식회사,303001,6000.0,6000.0,6000.0,6000.0,1,1,"6,000(고정)",2500.0,140.0
디자인페이지플러스주식회사,303002,3000.0,3000.0,3000.0,3000.0,1,1,"3,000(고정)",2500.0,20.0
디자인페이지플러스주식회사,703002,9000.0,9000.0,9000.0,9000.0,2,1,"9,000(고정)",7000.0,28.6
디자인페이지플러스주식회사,706001,100.0,100.0,100.0,100.0,1,1,100(고정),,
디자인페이지플러스주식회사,MA00236,104178.0,104178.0,104178.0,104178.0,1,1,"104,178(고정)",,
디자인페이지플러스주식회사,MA00311,31446.0,31446.0,31446.0,31446.0,1,1,"31,446(고정)",,
레인북,001001,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
레인북,001002,55000.0,55000.0,55000.0,55000.0,1,1,"55,000(고정)",,
레인북,001006,130000.0,130000.0,130000.0,130000.0,1,1,"130,000(고정)",,
레인북,303001,5000.0,5000.0,5000.0,5000.0,1,1,"5,000(고정)",2500.0,100.0
레인북,303002,8000.0,8000.0,8000.0,8000.0,2,1,"8,000(고정)",2500.0,220.0
레인북,703002,8000.0,8000.0,8000.0,8000.0,3,1,"8,000(고정)",7000.0,14.3
레인북,706001,250000.0,250000.0,250000.0,250000.0,1,1,"250,000(고정)",,
레인북,706002,60.0,60.0,60.0,60.0,1,1,60(고정),,
레인북,706020,100.0,100.0,100.0,100.0,1,1,100(고정),,
레인북,707011,35000.0,35000.0,35000.0,35000.0,1,1,"35,000(고정)",,
레인북,MA00512,46840.0,46840.0,46840.0,46840.0,1,1,"46,840(고정)",,
레인북,MA00631,139640.0,139640.0,139640.0,139640.0,1,1,"139,640(고정)",,
레인북,MA00650,225580.0,225580.0,225580.0,225580.0,1,1,"225,580(고정)",,
레인북,MA01313,208715.0,208715.0,208715.0,208715.0,1,1,"208,715(고정)",,
리베로시스템주식회사,303001,5500.0,2500.0,2500.0,10000.0,4,4,"2,500~10,000",2500.0,120.0
리베로시스템주식회사,303002,10000.0,10000.0,10000.0,10000.0,1,1,"10,000(고정)",2500.0,300.0
